id,count
0,73.37793
1,119.38815
2,19.954763
4,90.56491
5,20.702312
10,146.5036
11,147.70074
12,51.942696
15,38.895107
17,19.734175
18,147.15173
23,146.47807
25,52.40822
26,70.695114
31,147.89452
39,72.98132
40,53.20725
41,87.4301
42,
43,146.19127
51,144.16049
52,61.64305
54,96.34118
60,145.11687
61,77.96621
62,126.528275
63,81.19911
65,146.48671
66,127.77382
68,70.04975
71,79.980385
80,64.62097
82,
94,130.94316
98,146.97878
101,27.241156
102,142.05513
107,94.79253
112,69.45325
113,25.301168
115,
116,146.79301
120,146.49515
121,34.54506
122,148.04736
132,136.38322
143,42.011948
147,
150,33.89302
151,80.031166
152,145.60983
153,147.93062
155,25.3903
156,128.25156
159,146.24951
161,146.59755
163,147.02365
177,146.86157
186,92.16612
188,147.06145
190,147.61229
191,75.092766
192,62.619484
195,107.10636
200,127.63698
209,148.04565
210,29.254179
211,76.76865
214,112.52272
215,82.28537
218,69.49827
219,40.49056
222,146.77911
225,66.48744
228,147.14883
236,147.18556
241,147.05978
242,137.07077
243,146.75745
245,145.91765
247,147.48067
251,108.68125
252,146.86488
253,31.351421
254,47.226192
258,147.03392
260,
261,82.30302
265,147.32854
266,148.07658
267,62.632694
269,147.13074
270,
275,74.79522
278,127.02523
279,46.63816
286,147.57506
287,146.68706
288,146.42322
289,125.71174
293,147.08055
294,63.752598
297,
302,33.33511
303,22.178053
304,27.006992
307,113.76858
309,58.11305
311,129.77605
312,46.19121
314,130.29776
315,147.15993
319,147.1781
322,142.69247
323,
325,51.563305
327,147.77875
330,92.26
332,147.07556
333,146.9445
338,109.06072
341,27.480593
345,67.13141
348,139.7297
349,147.22679
350,146.81897
352,
355,62.304512
356,
358,
363,137.59454
369,125.000946
371,34.975243
372,86.186035
375,147.74423
380,68.12303
388,146.51918
391,
392,94.88297
393,144.66096
394,51.883606
396,121.38707
401,61.574932
407,147.94865
409,146.6552
410,101.5379
416,57.11058
418,146.96313
420,147.26363
421,76.02124
422,134.03601
424,146.87778
428,66.65432
429,58.2521
431,85.37186
435,18.681435
439,146.67964
441,19.300848
447,80.69973
449,63.487774
451,101.73439
452,107.14939
454,46.846428
458,47.648415
463,118.192795
467,29.150448
470,78.78347
471,147.21234
474,144.18718
478,102.06678
483,72.42086
484,52.725933
485,148.00203
486,102.4861
491,35.592854
494,33.904175
495,60.342403
497,97.83274
499,82.56706
515,102.835594
518,143.05862
521,146.82414
525,
529,146.6021
532,146.07506
534,134.48299
540,146.57465
544,146.57533
547,146.42941
549,146.70789
563,51.380978
564,115.48475
567,44.803234
572,53.38508
577,58.954174
578,147.16089
585,89.544975
588,71.225136
589,47.372684
590,141.83026
592,41.511925
594,92.98397
596,75.907265
598,57.851917
599,141.67749
605,106.95591
606,122.659485
607,89.93291
608,146.9945
609,
610,146.84111
611,130.44261
614,
615,145.38419
616,124.173164
617,124.403465
618,79.540855
624,63.59354
629,135.42715
631,146.97891
633,45.037663
637,115.32089
638,61.461662
643,
644,124.70657
645,99.67575
646,85.4519
648,143.00038
650,147.33368
651,62.888313
652,148.23152
656,120.721176
657,93.37594
659,29.728348
660,58.92487
662,115.47121
665,145.02641
675,
681,147.24495
682,133.73055
685,146.5183
686,147.18056
689,94.740005
696,146.46266
703,93.829216
704,44.7283
705,130.21687
714,147.16518
717,64.11292
718,47.15668
720,146.88864
721,118.79888
723,146.53249
726,39.901344
728,53.383915
730,69.85285
731,122.32431
734,146.602
737,88.865036
738,146.73782
745,70.663795
746,47.568104
749,140.4269
752,54.73457
753,34.44776
758,146.75745
765,37.79026
766,73.053856
768,91.59629
769,146.35353
774,136.52762
775,143.40297
781,
784,137.88359
794,148.07019
795,145.33781
796,120.91966
802,46.342865
803,136.49763
805,50.340145
806,148.26497
807,81.99557
809,63.633224
810,132.90335
812,57.9866
814,58.92376
818,144.7233
819,111.24864
825,30.619347
836,20.253908
839,97.89282
847,147.1184
848,75.4192
851,60.40865
852,146.92726
853,36.67466
857,146.79257
858,117.52514
859,123.12765
861,22.15019
867,68.20454
870,74.47263
871,147.85808
872,141.05815
874,143.76697
881,146.03427
886,146.55627
890,
895,146.92107
899,113.04505
900,148.07722
901,146.77733
902,145.26372
903,147.76201
913,146.64746
918,146.87543
923,134.35864
924,116.652725
926,133.35118
927,146.80006
930,71.86286
934,61.824146
937,117.12065
939,121.963905
941,146.72696
942,144.58617
946,89.81159
950,67.60054
953,35.48801
959,22.6097
961,66.76645
962,128.17294
964,86.22416
969,42.046627
971,142.63625
976,85.496895
978,146.85223
980,117.08027
981,103.48614
990,136.48013
993,112.78082
996,147.87695
998,76.875206
999,146.96266
1006,146.11221
1008,30.029978
1013,146.76451
1015,47.44634
1016,53.125595
1022,118.277466
1026,107.47052
1028,130.94492
1031,26.819082
1034,
1037,144.11794
1040,
1042,147.45152
1046,148.13702
1048,101.13515
1049,131.80565
1050,
1051,91.650696
1052,147.67093
1055,71.16159
1060,144.17726
1064,147.91162
1066,34.06018
1071,93.899086
1073,87.789406
1089,73.711426
1091,44.335846
1092,146.85289
1093,146.57973
1096,96.586296
1097,87.902115
1098,147.16075
1099,30.965591
1102,130.01468
1107,60.819023
1109,98.83174
1111,25.122143
1112,147.02887
1114,147.29553
1116,123.819405
1117,55.899273
1118,40.128036
1122,
1124,146.80501
1127,49.612957
1133,55.46966
1134,127.26062
1135,112.75797
1139,83.7926
1143,
1150,71.38265
1151,146.68047
1153,148.12398
1155,148.06917
1162,147.02783
1163,135.13533
1166,27.939016
1171,147.82895
1172,46.51972
1173,146.81125
1174,71.291115
1177,146.59676
1178,85.173035
1184,33.261024
1185,147.89749
1186,99.197876
1187,144.51385
1188,147.41037
1191,146.89824
1207,116.01465
1213,146.80815
1215,92.2026
1223,107.196976
1227,146.55496
1236,
1237,
1238,147.135
1241,35.26836
1248,146.86835
1250,34.751804
1251,130.61049
1253,55.110546
1255,68.15871
1257,51.185593
1261,61.88144
1262,97.1239
1265,75.72911
1273,146.56758
1277,43.77689
1278,98.60457
1280,28.28229
1284,66.79293
1285,147.99677
1288,93.427246
1295,147.13364
1297,97.348145
1299,146.74927
1304,81.26141
1308,138.53706
1310,62.035736
1311,103.76829
1314,146.95583
1315,104.764824
1318,37.160027
1320,147.85222
1321,131.52885
1322,55.942467
1330,98.7752
1333,146.38715
1334,115.19459
1341,66.73882
1344,143.453
1351,145.66682
1354,58.864178
1356,
1363,146.72554
1365,56.119137
1369,128.24438
1373,39.83736
1375,145.10835
1377,67.907936
1379,127.86016
1380,63.903484
1381,46.99908
1384,147.19987
1390,123.734856
1393,146.92274
1395,
1399,146.15076
1400,34.69889
1401,146.62679
1404,146.98492
1408,114.483574
1409,32.113197
1413,105.21099
1416,135.70935
1418,61.838173
1423,94.4854
1424,56.483345
1425,31.878397
1433,146.38298
1434,146.82556
1436,147.89537
1442,89.10413
1444,140.40433
1445,85.71201
1452,80.58098
1455,146.65778
1462,
1467,17.668362
1472,148.12613
1475,147.12325
1493,51.2464
1501,147.78047
1503,133.27261
1504,144.81448
1505,64.0333
1511,147.39658
1512,
1513,57.855072
1514,147.10301
1528,103.132904
1533,144.42728
1534,147.19609
1536,96.52022
1537,146.7036
1539,58.868256
1550,34.735435
1552,147.29802
1554,146.37367
1555,136.07002
1556,15.116887
1559,40.514435
1563,147.75177
1566,59.318672
1567,91.04486
1568,133.18803
1571,147.82805
1572,147.09247
1574,
1577,86.83193
1583,25.45199
1585,146.9515
1586,85.74244
1587,146.4778
1596,119.48403
1602,28.412989
1604,32.042572
1605,25.511112
1610,145.89183
1611,40.190197
1616,32.832096
1617,48.0094
1618,38.154255
1622,146.63956
1623,56.037975
1628,148.13185
1631,24.871513
1632,146.6781
1633,146.35329
1634,74.98012
1636,134.6196
1637,127.044914
1643,146.84637
1644,79.080475
1646,147.17113
1648,146.65927
1651,76.697105
1656,146.44441
1658,147.17444
1659,147.10715
1665,31.014492
1666,147.12398
1670,147.71632
1674,38.076447
1679,89.1878
1680,76.82392
1683,147.09781
1686,38.62168
1691,47.466633
1693,133.45714
1696,57.898815
1697,48.987114
1703,80.010025
1706,51.470627
1709,106.17953
1710,141.0824
1712,
1713,76.40495
1718,61.59104
1719,146.69008
1722,147.45982
1723,67.4376
1724,148.09554
1728,26.102505
1730,146.8157
1732,147.01932
1737,93.869484
1745,81.30759
1747,61.10415
1748,117.85885
1755,32.098717
1759,79.42569
1761,100.57083
1764,147.0511
1765,94.48043
1766,110.85158
1768,146.66354
1770,147.00082
1771,53.802704
1774,81.24136
1785,143.78053
1788,121.863174
1792,54.805454
1794,145.8631
1797,77.76867
1798,36.37702
1799,146.98482
1802,68.41367
1806,44.09596
1808,146.86592
1810,144.84189
1818,36.19966
1819,148.10092
1820,146.5522
1822,92.64577
1826,66.89438
1827,132.39442
1835,146.90135
1841,147.17476
1842,147.91832
1843,147.1811
1846,147.1116
1849,27.010149
1850,135.22424
1851,147.585
1857,
1858,50.752293
1860,68.82074
1861,148.27832
1864,46.24203
1869,110.847946
1871,
1872,18.840654
1875,122.41979
1878,145.87997
1879,147.92311
1885,147.48482
1888,146.84435
1889,24.845892
1890,81.021515
1896,143.02849
1897,141.7231
1898,
1900,147.031
1905,78.75035
