id,count
0,78.85254
1,180.14464
2,50.70921
4,99.05185
5,63.27108
10,121.89868
11,120.68242
12,167.9747
15,53.308907
17,14.1073475
18,174.36687
23,167.132
25,107.84355
26,69.643
31,169.05211
39,139.76344
40,41.102047
41,119.677536
42,
43,154.09776
51,172.35448
52,45.92418
54,73.18686
60,146.55235
61,133.58948
62,120.565865
63,39.66714
65,131.1087
66,123.28407
68,126.63027
71,51.217476
80,71.382576
82,
94,159.5015
98,168.69527
101,53.680405
102,155.9363
107,103.25871
112,164.31514
113,39.613083
115,
116,143.01707
120,104.86466
121,29.087933
122,186.0919
132,145.63538
143,38.899807
147,
150,52.363102
151,70.164246
152,174.87703
153,98.56344
155,61.809357
156,117.019966
159,162.35309
161,106.518265
163,102.777435
177,154.60638
186,60.444397
188,93.88796
190,100.692955
191,75.3603
192,125.53753
195,172.61313
200,144.13765
209,176.02286
210,34.39571
211,159.70042
214,126.06829
215,81.62507
218,108.18385
219,40.08712
222,111.395256
225,49.9402
228,179.19002
236,171.4051
241,98.30239
242,152.58018
243,171.09746
245,97.47121
247,179.75873
251,137.19644
252,101.22735
253,51.768593
254,53.02981
258,170.40306
260,
261,141.12172
265,88.9809
266,168.78557
267,127.88237
269,147.72588
270,
275,116.689255
278,85.146706
279,43.326427
286,108.79744
287,90.7784
288,169.34932
289,143.34027
293,100.65959
294,124.5339
297,
302,73.96059
303,51.34103
304,69.02206
307,130.009
309,61.98792
311,165.93196
312,103.15203
314,175.78065
315,171.17166
319,161.9096
322,133.89447
323,
325,133.75638
327,166.32765
330,58.24744
332,161.03851
333,97.560036
338,141.94576
341,67.33646
345,120.82023
348,135.85622
349,105.49991
350,125.771706
352,
355,37.879723
356,
358,
363,141.75089
369,156.02455
371,56.8642
372,141.04547
375,181.04092
380,124.530045
388,96.74012
391,
392,126.125206
393,175.72478
394,68.67492
396,78.56951
401,45.039368
407,69.47712
409,108.43317
410,104.988396
416,73.90099
418,120.01349
420,160.28807
421,155.37752
422,147.88634
424,177.84134
428,132.52531
429,153.52034
431,117.03719
435,0.50219196
439,119.88346
441,31.150097
447,59.084713
449,131.32607
451,153.67004
452,78.0848
454,123.639534
458,162.86891
463,153.74948
467,51.3872
470,104.98222
471,142.544
474,178.46895
478,92.42017
483,78.32806
484,120.79877
485,100.03503
486,143.60016
491,85.666885
494,78.20023
495,126.100395
497,140.5923
499,149.50468
515,112.873405
518,159.33801
521,112.133446
525,
529,171.66638
532,150.60492
534,69.48062
540,92.61632
544,173.09775
547,157.31071
549,111.67116
563,51.549225
564,166.3955
567,71.926056
572,110.74455
577,121.041245
578,174.78204
585,153.56784
588,142.40497
589,118.80624
590,129.3534
592,48.885365
594,112.1634
596,57.73476
598,145.03033
599,151.7818
605,71.03834
606,124.154564
607,135.5592
608,162.98442
609,
610,166.61255
611,92.091805
614,
615,145.0138
616,166.60265
617,136.17474
618,135.47328
624,79.67166
629,169.07198
631,112.27075
633,59.72185
637,75.355545
638,99.127716
643,
644,146.4876
645,65.749245
646,131.52576
648,142.08408
650,92.208176
651,70.433846
652,189.58423
656,127.866264
657,95.58713
659,57.605274
660,124.23131
662,131.45793
665,178.3224
675,
681,149.11084
682,154.60237
685,92.506874
686,167.84456
689,66.73418
696,149.38832
703,136.38644
704,84.55211
705,130.92738
714,161.24501
717,60.919235
718,50.284973
720,97.96842
721,175.68184
723,164.64836
726,59.655247
728,126.323044
730,85.4866
731,84.959045
734,174.1035
737,51.675407
738,94.68006
745,128.01218
746,51.987923
749,159.10626
752,48.465416
753,51.537018
758,161.36464
765,50.827652
766,156.0113
768,67.41356
769,165.18677
774,154.19774
775,121.27354
781,
784,169.7137
794,113.31162
795,180.76096
796,76.10542
802,100.09457
803,114.2679
805,45.11397
806,189.92941
807,100.141136
809,42.86576
810,158.60394
812,62.399395
814,82.53736
818,168.79591
819,166.42162
825,-3.080564
836,40.075108
839,129.55977
847,173.73524
848,59.417473
851,126.52337
852,149.8279
853,37.33341
857,158.63795
858,101.43934
859,159.56468
861,-4.0721507
867,113.81278
870,116.36065
871,182.24205
872,177.23575
874,179.41031
881,168.36086
886,147.24406
890,
895,151.38087
899,86.2502
900,169.04869
901,181.8409
902,161.36888
903,105.89319
913,176.66121
918,169.05142
923,136.01189
924,70.71142
926,81.000114
927,96.32279
930,125.047195
934,38.77119
937,130.19821
939,115.6331
941,101.968605
942,183.87357
946,147.4312
950,97.03585
953,61.245422
959,27.890522
961,38.228424
962,83.104385
964,94.420074
969,120.91244
971,144.0517
976,66.19457
978,163.92041
980,155.43433
981,136.52728
990,181.16602
993,77.41726
996,99.371376
998,160.35599
999,162.76105
1006,143.38048
1008,55.340446
1013,98.195244
1015,93.70928
1016,114.29746
1022,166.65073
1026,139.38623
1028,167.87201
1031,62.449337
1034,
1037,162.95465
1040,
1042,91.83333
1046,112.30296
1048,100.680244
1049,137.27725
1050,
1051,160.40138
1052,170.52777
1055,93.90132
1060,151.26826
1064,112.75492
1066,40.979633
1071,125.77272
1073,63.549885
1089,146.17264
1091,95.54405
1092,96.70063
1093,178.2803
1096,151.98108
1097,134.27141
1098,89.83084
1099,56.760204
1102,179.62341
1107,65.159996
1109,74.98112
1111,60.742653
1112,137.6569
1114,186.39447
1116,178.50357
1117,119.87824
1118,58.18034
1122,
1124,151.70134
1127,66.47506
1133,142.76929
1134,68.65451
1135,119.72532
1139,146.16556
1143,
1150,76.19844
1151,133.14195
1153,170.45125
1155,96.165405
1162,96.29291
1163,152.61807
1166,1.5260205
1171,109.18675
1172,49.558235
1173,170.02016
1174,90.17523
1177,121.79374
1178,98.10467
1184,64.622284
1185,134.16583
1186,79.57533
1187,171.59149
1188,179.23419
1191,148.92624
1207,119.60973
1213,100.197426
1215,133.07582
1223,156.66057
1227,137.28784
1236,
1237,
1238,108.579185
1241,33.186375
1248,95.28962
1250,51.617817
1251,159.08511
1253,79.17189
1255,99.598206
1257,148.78499
1261,89.71228
1262,169.66791
1265,123.69611
1273,180.08589
1277,129.53955
1278,99.86842
1280,72.59163
1284,115.006226
1285,187.06892
1288,90.43698
1295,131.05951
1297,172.69896
1299,170.78708
1304,131.7145
1308,94.26987
1310,91.661156
1311,121.63391
1314,110.052155
1315,100.541824
1318,26.167772
1320,187.683
1321,177.6463
1322,125.94549
1330,131.52705
1333,162.93048
1334,132.70422
1341,125.92253
1344,134.85342
1351,157.89894
1354,62.28743
1356,
1363,135.5112
1365,125.42922
1369,136.92337
1373,78.678154
1375,139.105
1377,55.85845
1379,152.53734
1380,146.3069
1381,72.89809
1384,150.23775
1390,156.48523
1393,167.55283
1395,
1399,170.9516
1400,69.274895
1401,111.11661
1404,160.45926
1408,62.999336
1409,11.070909
1413,142.88147
1416,165.78075
1418,83.26735
1423,75.90859
1424,57.96579
1425,35.491814
1433,175.59442
1434,150.97182
1436,171.93033
1442,138.51567
1444,83.46333
1445,117.25634
1452,152.88895
1455,166.43796
1462,
1467,10.868601
1472,102.54703
1475,115.52053
1493,95.52122
1501,162.26729
1503,166.5909
1504,181.97746
1505,48.95104
1511,171.14874
1512,
1513,113.7079
1514,108.69421
1528,167.13286
1533,180.13376
1534,91.43256
1536,149.56633
1537,93.41159
1539,105.269844
1550,123.142136
1552,155.98982
1554,161.85275
1555,168.20757
1556,42.002804
1559,38.382088
1563,159.96815
1566,128.55104
1567,104.01233
1568,72.39463
1571,162.82126
1572,93.39917
1574,
1577,84.73347
1583,56.50612
1585,100.37773
1586,127.4275
1587,165.44418
1596,142.68816
1602,36.781384
1604,59.79916
1605,55.180374
1610,172.04967
1611,93.742714
1616,54.404438
1617,102.77454
1618,49.987198
1622,86.39344
1623,43.05251
1628,170.03581
1631,51.569958
1632,159.265
1633,163.51602
1634,167.6001
1636,158.76982
1637,143.8419
1643,105.85745
1644,104.19937
1646,114.49628
1648,163.01192
1651,69.08345
1656,91.85998
1658,140.5807
1659,93.062874
1665,66.55369
1666,136.52715
1670,108.77433
1674,116.08343
1679,163.12575
1680,145.62953
1683,176.8042
1686,51.278667
1691,97.19223
1693,79.9646
1696,56.915646
1697,82.88612
1703,69.564804
1706,48.80917
1709,143.13434
1710,96.1995
1712,
1713,124.418236
1718,157.59814
1719,160.91136
1722,174.37555
1723,123.170074
1724,189.5084
1728,42.507698
1730,100.20753
1732,93.01155
1737,43.74454
1745,56.707417
1747,57.602127
1748,76.625046
1755,94.73471
1759,78.88453
1761,147.16289
1764,149.29506
1765,137.1706
1766,59.796967
1768,90.82419
1770,100.2013
1771,119.783966
1774,88.047844
1785,153.05246
1788,179.35373
1792,53.130867
1794,158.2114
1797,114.60826
1798,28.23049
1799,172.92885
1802,96.41573
1806,44.906197
1808,99.47513
1810,165.67316
1818,45.235172
1819,185.43466
1820,174.67607
1822,146.32765
1826,137.41129
1827,144.48097
1835,98.37843
1841,126.91062
1842,112.602135
1843,110.04634
1846,89.77661
1849,48.056057
1850,176.08388
1851,116.72843
1857,
1858,115.22659
1860,86.58278
1861,174.81897
1864,63.661777
1869,171.94305
1871,
1872,51.02081
1875,79.39494
1878,181.43216
1879,162.16649
1885,81.725975
1888,114.92218
1889,56.119972
1890,105.47897
1896,131.97826
1897,173.33656
1898,
1900,102.58966
1905,61.431576
1908,71.86216
1909,108.5671
1913,
1918,118.34778
1922,184.41438
1923,123.69361
1925,162.90227
1926,131.95264
1927,152.6626
1930,154.65178
1935,53.73804
1939,117.75989
1942,98.36667
1943,
1948,162.45667
1949,135.53981
1951,110.06468
1953,129.2108
1959,
1963,92.09148
1967,113.49101
1973,127.984985
1975,60.4066
1976,44.064636
1990,124.8558
1993,124.312096
1997,60.86707
1999,120.627754
2001,156.53307
2004,65.500465
2010,99.44625
2013,152.82169
2017,179.11656
2021,60.888462
2023,47.823116
2026,155.50253
2037,53.355244
2039,108.57539
2041,58.408825
2046,92.11663
2050,60.90017
2060,137.84975
2067,112.32128
2069,133.52905
2072,167.54575
2074,127.180046
2079,112.07167
2083,57.72407
2085,72.098335
2087,55.895515
2093,143.49759
2094,93.97567
2097,51.748604
2103,81.05685
2104,
2107,160.49265
2108,31.151361
2110,16.991316
2115,136.86081
2117,94.486115
2125,147.74164
2127,179.86539
2133,45.509544
2134,175.79195
2135,114.81888
2141,168.45657
2143,60.38359
2145,68.95725
2146,108.75272
2147,143.91518
2148,
2149,
2165,106.10523
2166,158.23317
2177,91.02298
